"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","29.5","10.7","21.5","5.6"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","20","8","19.5","4.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","RENT","TOTAL","NOT SPECIFIED","143","12.2","90","6.2","33.5","4.9"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CHOCTAW","023","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","14.5","7.3","",""
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CLARKE","025","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","17","5.1","",""
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","27.5","6.8","17","8.2"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","101","8.5","45","9.6"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MOBILE","097","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","83.5","8.4","33.5","5.1"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","00000000","","RENT","TOTAL","NOT SPECIFIED","160","8.8","66.5","6.5","26.5","5.1"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WASHINGTON","129","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","20","12.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WILCOX","131","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","33.5","8.1","17.5","4.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","BLOUNT","009","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","48","22.4","24","4.1"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CALHOUN","015","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","64.5","6.7","33","8.1"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CHEROKEE","019","","","00000000","","RENT","TOTAL","NOT SPECIFIED","172","10.2","94.5","5.2","27.5","7.8"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CLEBURNE","029","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","30.5","7.9","26","6"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CULLMAN","043","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","47.5","16.5","29","6.6"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","60","5.9","28.5","5"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","59.5","27","45.5","9.5"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","JACKSON","071","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","61.5","19.4","38","9.7"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","MARSHALL","095","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","40","8.7","32.5","6.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","SAINT CLAIR","115","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","36.5","15.3","17","8.9"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","COLBERT","033","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","105","5.8","31","3.8"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","FRANKLIN","059","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","72.5","15.1","37","21.1"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAUDERDALE","077","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","78.5","5.8","23.5","5.5"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAWRENCE","079","","","00000000","","RENT","TOTAL","NOT SPECIFIED","152","7.7","113","6.3","30.5","4.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LIMESTONE","083","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","139","7.1","31","6.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MADISON","089","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","26","5.4"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MARION","093","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","34","24.8","20.5","11.1"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MORGAN","103","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","65","5.8","32","11"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","WINSTON","133","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","26.5","5.8","24","7.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","BIBB","007","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","24","15.8","20.5","9"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHAMBERS","017","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","28","6","18.5","4.8"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHILTON","021","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","24.5","7.1","14.5","6.5"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CLAY","027","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","18","4.7","11.5","6.8"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","FAYETTE","057","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","46.5","7.6","22","3.8"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LAMAR","075","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","40.5","12.2","23.5","6.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LEE","081","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","34.5","14.3","15.5","4.2"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","PICKENS","107","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","49.5","17.2","",""
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","RANDOLPH","111","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","25.5","6.8","24.5","5.4"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","SHELBY","117","","","00000000","","RENT","TOTAL","NOT SPECIFIED","69.5","9.2","41.5","17.8","18","7.4"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLADEGA","121","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","53.5","12.4","11","6"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TUSCALOOSA","125","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","46","4.6","30","3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","WALKER","127","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","24","6.6","18","6.1"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","BARBOUR","005","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","58.5","7","37.5","5.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","COFFEE","031","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","49.5","8.4","35.5","4.2"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","COVINGTON","039","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","66.5","8.6","33","3.8"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","CRENSHAW","041","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","30","10.1","22.5","16.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","DALE","045","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","54.5","6.8","32.5","5.3"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","GENEVA","061","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","59.5","5.7","37","5.7"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","HENRY","067","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","51.5","5.5","30.5","5.7"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","HOUSTON","069","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","61","6.2","29","6.1"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","PIKE","109","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","40","6.9","36","14"
"SURVEY","2026","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","RUSSELL","113","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","41.5","7.1","20.5","4.9"
"SURVEY","2026","YEAR","","COUNTY","ARIZONA","04","","99","OTHER COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","160","12.5","","","3.2","1.6"
"SURVEY","2026","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","APACHE","001","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","3.7","24.7"
"SURVEY","2026","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","NAVAJO","017","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","1","35.6"
"SURVEY","2026","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","YAVAPAI","025","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","2.4","28.2"
"SURVEY","2026","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","LAPAZ","012","","","00000000","","RENT","TOTAL","NOT SPECIFIED","276","9.5","","","",""
"SURVEY","2026","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","MARICOPA","013","","","00000000","","RENT","TOTAL","NOT SPECIFIED","266","10.5","","","",""
"SURVEY","2026","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","PINAL","021","","","00000000","","RENT","TOTAL","NOT SPECIFIED","183","9.7","","","4.1","14.4"
"SURVEY","2026","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","SANTA CRUZ","023","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","3.1","15"
"SURVEY","2026","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","YUMA","027","","","00000000","","RENT","TOTAL","NOT SPECIFIED","747","10.7","","","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","","99","OTHER COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","113","13","72.5","16.2","19.5","1.1"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","CONWAY","029","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","24.5","6.7","14","6"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","FAULKNER","045","","","00000000","","RENT","TOTAL","NOT SPECIFIED","100","5.7","26","6","18","3.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","GARLAND","051","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","8.4","13.7"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","GRANT","053","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","13","8.4","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","HOT SPRING","059","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","25.5","12.3","19","6.9"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","PERRY","105","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","27","10.4","22","3.3"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","PULASKI","119","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","39","31.6","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","SALINE","125","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","17","12.1","10.5","7.1"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","ARKANSAS","001","","","00000000","","RENT","TOTAL","NOT SPECIFIED","158","3.6","","","27","10"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CRITTENDEN","035","","","00000000","","RENT","TOTAL","NOT SPECIFIED","157","10.8","109","6.6","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CROSS","037","","","00000000","","RENT","TOTAL","NOT SPECIFIED","149","3.8","140","13.4","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","LEE","077","","","00000000","","RENT","TOTAL","NOT SPECIFIED","152","7.7","","","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","LONOKE","085","","","00000000","","RENT","TOTAL","NOT SPECIFIED","174","6.6","30","6.2","18","9.2"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","MONROE","095","","","00000000","","RENT","TOTAL","NOT SPECIFIED","157","5.8","","","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","PHILLIPS","107","","","00000000","","RENT","TOTAL","NOT SPECIFIED","146","4.4","119","6.8","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","PRAIRIE","117","","","00000000","","RENT","TOTAL","NOT SPECIFIED","140","4.1","26","4.2","17.5","10.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","SAINT FRANCIS","123","","","00000000","","RENT","TOTAL","NOT SPECIFIED","152","5.5","136","15.9","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","WOODRUFF","147","","","00000000","","RENT","TOTAL","NOT SPECIFIED","155","4.2","127","8.7","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","BAXTER","005","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","25.5","9.3","19.5","4.7"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","CLEBURNE","023","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","23","6.3","17.5","18.7"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","FULTON","049","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","32","15.4","27","18.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","IZARD","065","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","28","10.3","14.5","6.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","MARION","089","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","30","12.3","32","6.7"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","SEARCY","129","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","19","7.8","19.5","8.1"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","SHARP","135","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","25","6.5","18.5","13.6"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","STONE","137","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","30","13.6","24","6.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","VAN BUREN","141","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","21","6.4","14.5","4"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","CLAY","021","","","00000000","","RENT","TOTAL","NOT SPECIFIED","195","6.9","","","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","CRAIGHEAD","031","","","00000000","","RENT","TOTAL","NOT SPECIFIED","159","5.8","","","19.5","9.7"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","GREENE","055","","","00000000","","RENT","TOTAL","NOT SPECIFIED","192","4.3","105","6.1","20","13.5"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","INDEPENDENCE","063","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","28.5","10.1","28","6.1"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","JACKSON","067","","","00000000","","RENT","TOTAL","NOT SPECIFIED","185","5.6","","","30.5","15.2"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","LAWRENCE","075","","","00000000","","RENT","TOTAL","NOT SPECIFIED","150","6.8","90","3.7","25","13"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","MISSISSIPPI","093","","","00000000","","RENT","TOTAL","NOT SPECIFIED","184","7.7","169","8.9","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","POINSETT","111","","","00000000","","RENT","TOTAL","NOT SPECIFIED","184","5.4","110","6","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","RANDOLPH","121","","","00000000","","RENT","TOTAL","NOT SPECIFIED","172","3.6","35","7.5","29.5","7.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","WHITE","145","","","00000000","","RENT","TOTAL","NOT SPECIFIED","118","6.4","30.5","20.5","18.5","5"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHWEST","10","BENTON","007","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","52.5","6.6","30","7.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHWEST","10","BOONE","009","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","35.5","10.7","27.5","4.6"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHWEST","10","CARROLL","015","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","50","9.3","37.5","8.1"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHWEST","10","MADISON","087","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","53","15.2","35","4.4"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHWEST","10","NEWTON","101","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","25.5","15.1","24.5","22.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","NORTHWEST","10","WASHINGTON","143","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","53","6.5","31","4.7"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTH CENTRAL","80","CLARK","019","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","39.5","17.3","13","3.9"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTH CENTRAL","80","CLEVELAND","025","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","24.5","8.1","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTH CENTRAL","80","COLUMBIA","027","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","17","9.9","33","7.5"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTH CENTRAL","80","DALLAS","039","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","13.5","8.3","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTH CENTRAL","80","NEVADA","099","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","19","6.3","32","17"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTH CENTRAL","80","UNION","139","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","16","9.7"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","ASHLEY","003","","","00000000","","RENT","TOTAL","NOT SPECIFIED","170","4.2","","","37.5","15.2"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","CHICOT","017","","","00000000","","RENT","TOTAL","NOT SPECIFIED","165","4.3","159","11.1","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","DESHA","041","","","00000000","","RENT","TOTAL","NOT SPECIFIED","177","5.3","","","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","DREW","043","","","00000000","","RENT","TOTAL","NOT SPECIFIED","150","5.4","39","21.6","20.5","4.6"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","JEFFERSON","069","","","00000000","","RENT","TOTAL","NOT SPECIFIED","185","18.1","82.5","11.9","",""
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","LINCOLN","079","","","00000000","","RENT","TOTAL","NOT SPECIFIED","156","4.9","25","7.7","21","7.5"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","HEMPSTEAD","057","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","30","7","26.5","7.9"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","HOWARD","061","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","32","11.1","27","8.3"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","LAFAYETTE","073","","","00000000","","RENT","TOTAL","NOT SPECIFIED","174","5","","","34.5","10.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","LITTLE RIVER","081","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","28","9.5","27.5","8.8"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","MILLER","091","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","32","20.6","20","8.9"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","MONTGOMERY","097","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","28.5","6.6","22.5","7.6"
"SURVEY","2026","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","PIKE","109","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","38","11.8","24.5","7.1"
